Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
P119_01N_B2402A,Shelton Avenue Bridge A,Bridge,Bridge,2012/11/05,01N,P119,4.60,37.80,19.50,3,Simply supported,
P119_01N_B2402B,Shelton Avenue Bridge B,Bridge,Bridge,2012/11/05,01N,P119,4.60,37.80,19.50,3,Simply supported,
P119_01N_B2403,Barbara Road Overpass Bridge,Bridge,Bridge,2012/11/15,01N,P119,5.20,64.40,33.50,4,Continuous,
P119_01N_B2404,Isando Road Bridge,Bridge,Bridge,2012/11/05,01N,P119,5.60,50.00,39.30,2,Simply supported,1969/01/02
P119_01N_B5537,Pedestrian Bridge,Bridge,Bridge,2012/11/20,01N,P119,7.75,65.30,2.60,3,Simply supported,2002/01/02
P122_01N_B1152,Sesmyl River Bridge,Bridge,Bridge,2012/11/06,01N,P122,11.00,16.00,9.80,1,Frame,
P123_01N_B1343,Hartbeesfontein Bridge 1343,Bridge,Bridge,2012/10/03,01N,P123,2.50,15.00,8.80,2,Simply supported,
P123_01N_B950,Hekpoort Bridge 950,Bridge,Bridge,2012/10/04,01N,P123,8.90,39.70,8.50,6,Simply supported,
P126_01N_B1183,Hendrik Potgieter Rd (P126-1) over Crocodile River,Bridge,Bridge,2012/11/10,01N,P126,16.20,16.20,15.40,2,Simply supported,
P126_01N_B1670,Rietspruit Bridge 2,Bridge,Bridge,2012/01/18,13E,N014,97.44,25.70,13.35,3,Simply supported,2002/07/01
P126_01N_B1953,Honingklip Spruit,Bridge,Bridge,2012/01/18,13E,N014,104.69,10.10,15.10,2,Simply supported,2002/07/01
P126_01N_B2073,Rietspruit Bridge 1,Bridge,Bridge,2012/01/18,13E,N014,93.95,11.10,15.60,2,Simply supported,2002/07/01
P126_01N_B4170,Hendrik Potgieter Rd (P126/1) under JG Strijdom Rd (M69),Bridge,Bridge,2012/11/02,01N,P126,3.50,69.20,20.40,4,Continuous,1979/01/02
P126_01N_B5409A,Constantia Park Underpass,Bridge,Bridge,2012/11/08,01N,P126,3.10,23.00,13.00,1,Simply supported,
P126_01N_B5409B,Constantia Park Underpass,Bridge,Bridge,2012/11/08,01N,P126,3.10,23.00,13.00,1,Simply supported,
P126_01N_B5410A,14th Ave Underpass,Bridge,Bridge,2012/11/08,01N,P126,3.00,45.30,13.00,2,Continuous,
P126_01N_B5410B,14th Avenue Underpass,Bridge,Bridge,2012/11/08,01N,P126,3.00,45.30,13.00,2,Continuous,
P126_01N_B5411A,Constantia Boulevard Underpass,Bridge,Bridge,2012/11/08,01N,P126,2.80,23.10,13.00,1,Simply supported,
P126_01N_B5411B,Constantia Boulevard Underpass,Bridge,Bridge,2012/11/08,01N,P126,2.80,23.10,13.00,1,Simply supported,
P126_01N_B5454A,Hendrik Potgieter Road (P126-1) over Hillfox underpass,Bridge,Bridge,2012/11/01,01N,P126,4.10,26.50,13.00,1,Simply supported,1994/01/02
P126_01N_B5454B,Hendrik Potgieter Road (P126-1) over Hillfox underpass,Bridge,Bridge,2012/11/01,01N,P126,4.10,26.30,12.90,1,Simply supported,1994/01/02
P126_01N_B5548A,Hendrik Potgieter Rd (P126-1) under Christiaan De Wet Rd (P139-1),Bridge,Bridge,2012/11/01,01N,P126,6.10,49.10,16.90,2,Continuous,
P126_01N_B5548B,Hendrik Potgieter Rd (P126-1) under Christiaan De Wet Rd (P139-1),Bridge,Bridge,2012/11/01,01N,P126,6.10,49.10,14.20,2,Continuous,
P140_01N_B1741,Road over Rail R550 near Silos,Bridge,Bridge,2012/10/13,01N,P140,8.94,10.40,12.50,1,Simply supported,
P140_01N_B4511,Rail over Road Diana Rd near Glenroy Station,Bridge,Bridge,2012/10/13,01N,P140,4.23,24.10,14.25,1,Simply supported,1985/01/02
P140_01N_B4512,Rail over Road near Glenroy Station 2,Bridge,Bridge,2012/10/13,01N,P140,4.00,24.00,6.30,1,Simply supported,1985/01/02
P155_01N_B3886A,P155/1 (R57) over Vaal River,Bridge,Bridge,2017/01/06,1,P155,,182.56,14.74,1,,
P155_01N_B3886B,P155-1 (R57) over Vaal River,Bridge,Bridge,2000/01/01,,,,182.56,14.74,1,,
P155_01N_B3960,-,Bridge,Bridge,2012/10/26,01N,P155,0.30,76.00,13.70,2,Continuous,
P155_01N_B3961,-,Bridge,Bridge,2012/10/26,01N,P155,1.50,74.50,29.30,2,Continuous,
P155_01N_IDB2051,-,Bridge,Bridge,2012/10/26,01N,P155,10.80,23.20,18.40,2,Simply supported,
P155_1_IDB3000,P156/1 (R57) over William Nicol Street,Bridge,Bridge,2012/10/26,01N,P155,2.40,100.00,14.00,4,Continuous,
P156_01_B3156A,Road P156-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P156,19.70,22.86,82.92,1,,1976/01/01
P156_01_B3156B,Road P156-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P156,18.70,22.86,82.92,1,,1976/01/01
P156_01_B3567,Road P156-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P156,9.40,10.61,88.46,1,,1977/01/01
P156_01_B3568,Road P156-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P156,13.30,45.78,108.45,1,,1977/01/01
P156_01N_B3061,-,Bridge,Bridge,2016/04/25,01N,P156,20.20,101.30,14.20,5,Simply supported,
P156_01N_B3240A,-,Bridge,Bridge,2012/10/18,01N,P156,4.80,43.30,17.40,3,Continuous,
P156_01N_B3240B,Mitchel Road,Bridge,Bridge,2012/10/18,01N,P156,4.80,43.30,17.40,3,Continuous,
P156_01N_B3241,Burg Bridge,Bridge,Bridge,2012/10/18,01N,P156,5.80,70.70,13.90,2,Continuous,
P156_01N_B3242,-,Bridge,Bridge,2012/10/18,01N,P156,7.10,76.80,33.80,2,Continuous,
P156_01N_B3243,-,Bridge,Bridge,2012/10/18,01N,P156,10.10,70.80,13.90,2,Continuous,
P156_01N_B3244,-,Bridge,Bridge,2012/10/18,01N,P156,11.00,70.80,13.40,2,Continuous,
P156_01N_B3245A,-,Bridge,Bridge,2012/10/18,01N,P156,12.20,120.10,21.25,4,Continuous,
P156_01N_B3245B,-,Bridge,Bridge,2012/10/18,01N,P156,12.20,120.50,20.40,4,Continuous,
P156_01N_B3246A,-,Bridge,Bridge,2012/10/19,01N,P156,16.20,13.20,17.20,1,Simply supported,
P156_01N_B3246B,-,Bridge,Bridge,2012/10/19,01N,P156,16.20,13.10,17.40,1,Simply supported,
P156_01N_B3873,"Heidelberg Rd (M31, P4/1) Ramp to South Rand Rd west (P156/1)",Bridge,Bridge,2012/10/30,01N,P156,1.00,66.20,14.00,4,Continuous,1978/01/02
P156_01N_B3874,"Ramp from Heidelberg Road (M31, P4/1) to South Rand Road (P156/1) crossing over Heidelberg Road",Bridge,Bridge,2012/10/30,01N,P156,1.00,56.10,14.00,3,Continuous,1978/01/02
P156_01N_B530A,Klip River,Bridge,Bridge,2012/10/19,01N,P156,18.70,98.00,17.50,8,Continuous,
P156_01N_B530B,-,Bridge,Bridge,2016/04/25,01N,P156,18.70,98.00,17.50,8,Continuous,
P156_01N_B958A,-,Bridge,Bridge,2012/10/19,01N,P156,2.60,15.30,17.30,1,Simply supported,
P156_01N_B958B,-,Bridge,Bridge,2012/10/19,01N,P156,2.60,15.30,17.30,1,Simply supported,
P156_01N_BB1055,-,Bridge,Bridge,2012/10/19,01N,P156,2.60,15.30,28.20,1,Simply supported,
P156_02_B3162,Road P156-2 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,2,P156,12.80,17.63,126.77,1,,1973/01/01
P156_02_B3750A,P156-2(RmpA) over R.W.B. Pipes,Bridge,Bridge,2000/01/01,2,P156,,14.54,25.24,1,,
P156_02_B3750B,P156-2(RmpB) over R.W.B. Pipes,Bridge,Bridge,2000/01/01,2,P156,,17.58,36.02,1,,
P156_02_B3770,Rd P156-2 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,2,P156,31.28,8.37,90.09,1,,1981/01/01
P156_02_B4623A,Road P156-2 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,2,P156,,5.30,114.30,1,,
P156_02_B4623B,Road P156-2 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,2,P156,,5.30,32.40,1,,
P156_02N_B3030,-,Bridge,Bridge,2012/10/21,02N,P156,18.80,87.60,16.00,4,Continuous,
P156_02N_B3031A,-,Bridge,Bridge,2012/10/21,02N,P156,19.63,8.70,17.40,1,Simply supported,
P156_02N_B3031B,-,Bridge,Bridge,2012/10/21,02N,P156,19.63,8.70,17.40,1,Simply supported,
P156_02N_B3032,-,Bridge,Bridge,2012/10/21,02N,P156,21.60,95.70,3.90,4,Simply supported,
P156_02N_B3034A,-,Bridge,Bridge,2012/10/21,02N,P156,22.50,42.40,16.40,3,Continuous,
P156_02N_B3034B,-,Bridge,Bridge,2012/10/21,02N,P156,22.50,42.40,17.40,3,Continuous,
P156_02N_B3038,-,Bridge,Bridge,2012/10/21,02N,P156,25.30,86.46,5.60,4,Simply supported,
P156_02N_B3040,-,Bridge,Bridge,2012/10/21,02N,P156,26.60,68.70,16.40,4,Simply supported,
P156_02N_B3062,-,Bridge,Bridge,2012/10/19,02N,P156,4.00,72.80,14.40,4,Simply supported,
P156_02N_B3063A,Klip River,Bridge,Bridge,2012/10/20,02N,P156,4.20,20.80,17.30,3,Simply supported,
P156_02N_B3063B,Klip River,Bridge,Bridge,2012/10/20,02N,P156,4.20,20.80,17.10,3,Simply supported,
P156_02N_B3064,-,Bridge,Bridge,2012/10/20,02N,P156,6.50,112.00,13.90,5,Simply supported,
P156_02N_B3065,-,Bridge,Bridge,2012/10/20,02N,P156,8.50,82.80,13.10,4,Simply supported,
P156_02N_B3066,-,Bridge,Bridge,2012/10/20,02N,P156,11.90,82.20,14.00,4,Simply supported,
P156_02N_B3067,-,Bridge,Bridge,2012/10/20,02N,P156,14.38,82.10,14.10,4,Simply supported,
P156_02N_B3068A,-,Bridge,Bridge,2012/10/20,02N,P156,15.40,24.50,17.00,3,Simply supported,
P156_02N_B3068B,-,Bridge,Bridge,2012/10/20,02N,P156,15.40,24.50,17.00,3,Simply supported,
P156_02N_B3069,-,Bridge,Bridge,2012/10/20,02N,P156,16.40,82.00,14.00,4,Simply supported,
P156_02N_B3165A,-,Bridge,Bridge,2012/10/23,02N,P156,29.20,43.80,18.20,2,Simply supported,
P156_02N_B3165B,-,Bridge,Bridge,2012/10/23,02N,P156,29.20,43.80,18.20,2,Simply supported,
P156_02N_B3166A,-,Bridge,Bridge,2012/10/24,02N,P156,30.30,127.00,18.50,5,Continuous,
P156_02N_B3166B,-,Bridge,Bridge,2012/10/24,02N,P156,30.30,122.70,18.40,5,Continuous,
P156_02N_B3169,-,Bridge,Bridge,2012/10/23,02N,P156,30.30,68.50,12.50,4,Continuous,
P156_02N_B3172A,-,Bridge,Bridge,2012/10/24,02N,P156,31.80,72.90,18.20,4,Cantilever with drop in spans,
P156_02N_B3172B,-,Bridge,Bridge,2012/10/24,02N,P156,31.90,72.20,18.30,4,Cantilever with drop in spans,
P156_02N_B3173A,-,Bridge,Bridge,2012/10/24,02N,P156,32.35,26.50,23.60,1,Simply supported,
P156_02N_B3173B,-,Bridge,Bridge,2012/10/24,02N,P156,32.35,26.00,18.80,1,Simply supported,
P156_02N_B3174A,-,Bridge,Bridge,2012/10/25,02N,P156,32.75,77.10,18.20,4,Simply supported,
P156_02N_B3174B,-,Bridge,Bridge,2012/10/25,02N,P156,32.75,77.10,18.20,4,Simply supported,
P156_02N_B3175,-,Bridge,Bridge,2012/10/25,02N,P156,34.44,67.60,32.20,2,Continuous,
P156_02N_B3177B,-,Bridge,Bridge,2012/10/25,02N,P156,35.10,75.30,47.30,3,Simply supported,
P156_02N_B3179,-,Bridge,Bridge,2012/10/25,02N,P156,0.80,85.80,18.50,2,Continuous,
P156_02N_B3180,-,Bridge,Bridge,2012/10/25,02N,P156,37.30,122.40,13.40,5,Continuous,
P156_02N_B3749,-,Bridge,Bridge,2012/10/24,02N,P156,30.30,54.60,13.10,2,Cantilever with drop in spans,
P156_02N_B4820A,-,Bridge,Bridge,2012/10/25,02N,P156,37.30,154.30,14.00,6,Continuous,
P156_02N_B4820B,-,Bridge,Bridge,2012/10/25,02N,P156,37.30,144.40,14.20,6,Continuous,
P156_02N_B4821,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,108.40,9.80,4,Continuous,
P156_02N_B4822A,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,80.10,13.90,3,Continuous,
P156_02N_B4822B,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,89.40,13.90,3,Continuous,
P156_02N_B4823,-,Bridge,Bridge,2012/10/26,02N,P156,37.30,49.40,9.80,3,Continuous,
P156_03N_B689,Riet River,Bridge,Bridge,2012/10/26,03N,P156,10.85,25.10,9.69,1,Arch,
P156_04_B4260,Road P156-4 over Vaal River,Bridge,Bridge,2000/01/01,4,P156,,300.02,33.28,1,,
P158_01N_B2227A,Freedom Park Access,Bridge,Bridge,2012/11/07,01N,P158,0.60,35.00,12.90,3,Frame,1966/01/02
P158_01N_B2227B,Freedom Park Access,Bridge,Bridge,2012/11/07,01N,P158,0.60,35.00,16.60,3,Frame,1966/01/02
P158_01N_B2228A,M7 Eeufees Road,Bridge,Bridge,2012/11/07,01N,P158,2.30,152.20,13.10,5,Continuous,1966/01/02
P158_01N_B2228B,M7 Eeufess Road,Bridge,Bridge,2012/11/07,01N,P158,2.30,163.00,15.50,5,Continuous,1966/01/02
P158_01N_B2299A,N14 NBC over M34,Bridge,Bridge,2012/11/08,01N,P158,9.10,32.00,12.50,3,Continuous,1967/01/02
P158_01N_B2299B,N14 SBC over M34,Bridge,Bridge,2012/11/08,01N,P158,9.15,32.20,12.50,3,Continuous,1967/01/02
P158_01N_B2300A,N14 NBC over Hennops River,Bridge,Bridge,2012/11/08,01N,P158,10.22,36.50,13.20,2,Continuous,1967/01/02
P158_01N_B2300B,N14 SBC over Hennops River Bridge,Bridge,Bridge,2012/11/08,01N,P158,10.23,36.50,13.20,2,Continous and simply supported,1967/01/02
P158_01N_B2301,Edward Rd Bridge at km12.18,Bridge,Bridge,2012/11/08,01N,P158,12.18,54.80,12.70,2,Simply supported,
P158_01N_B2348,Bridge at Route km 3.7,Bridge,Bridge,2012/11/07,01N,P158,3.70,55.30,4.05,2,Cable,
P158_01N_B2384,Bridge at Route km 4.7,Bridge,Bridge,2012/11/07,01N,P158,4.70,50.05,13.40,2,Simply supported,1966/01/02
P158_01N_B4869A,K103 over P158-1,Bridge,Bridge,2012/11/01,01N,P158,5.60,74.00,14.00,2,Cellular,1986/01/02
P158_01N_B5208,M25 Hendrik Verwoerd Drive Overpass,Bridge,Bridge,2012/11/08,01N,P158,11.95,78.70,14.20,2,Continuous,
P158_01N_IDB2124,Bridge at Route km 6.1,Bridge,Bridge,2012/11/07,01N,P158,6.10,76.00,11.80,4,Continous and simply supported,
P158_1_B5098,Soweto/R554 I/C: R554 Overpass,Bridge,Bridge,2011/10/20,1,P186,91.49,161.40,14.05,6,Continuous,1980/07/01
P158_2_B2947A,Crocodile River Bridge A (EB),Bridge,Bridge,2011/11/23,2,P158,2.98,65.00,11.46,3,Simply supported,1978/07/01
P158_2_B2947B,Crocodile River Bridge B (WB),Bridge,Bridge,2011/11/23,2,P158,3.03,65.00,11.46,3,Simply supported,1978/07/01
P158_2_B3298A,Driefontein Farm Access Underpass (N014EB),Bridge,Bridge,2011/11/23,2,P158,3.89,33.90,13.46,3,Continuous,1978/07/01
P158_2_B3298B,Driefontein Farm Access Underpass (N014WB),Bridge,Bridge,2011/11/23,2,P158,3.94,33.90,13.46,3,Continuous,1978/07/01
P158_2_B3299A,Beyers Naude Dr (M5) I/C: Beyers Naude Dr (M5) NB Overpass,Bridge,Bridge,2011/11/29,2,P158,5.52,141.00,13.39,6,Continuous,1978/07/01
P158_2_B3299B,Beyers Naude Dr (M5) I/C: Beyers Naude Dr (M5) SB Overpass,Bridge,Bridge,2011/11/29,2,P158,5.56,141.00,13.39,6,Continuous,1978/07/01
P158_2_B3300,Elandsdrif Rd Overpass,Bridge,Bridge,2011/11/29,2,P158,7.75,84.90,13.84,4,Continuous,1978/07/01
P158_2_B3301A,Sunset Drive Underpass (N14EB),Bridge,Bridge,2011/11/29,2,P158,9.15,33.20,16.15,3,Continuous,1978/07/01
P158_2_B3301B,Sunset Drive Underpass (N14WB),Bridge,Bridge,2011/11/29,2,P158,9.16,33.20,16.15,3,Continuous,1978/07/01
P158_2_B3302,Jukskei Arch Bridge,Bridge,Bridge,2011/11/29,2,P158,10.70,13.10,82.62,1,Arch,1978/07/01
P158_2_B3303A,Nooitgedacht Farm Road Underpass (N14 EB),Bridge,Bridge,2011/11/29,2,P158,12.65,30.30,16.14,3,Continuous,1978/07/01
P158_2_B3303B,Nooitgedacht Farm Road Underpass (N14 WB),Bridge,Bridge,2011/11/29,2,P158,12.64,30.30,16.14,3,Continuous,1978/07/01
P158_2_B3304A,Malibongwe Dr (R512) I/C: Malibongwe Dr (R512) Overpass,Bridge,Bridge,2011/11/29,2,P158,13.34,123.50,17.17,4,Continuous,1974/01/02
P158_2_B3304B,Malibongwe Drive (R512) Interchange Overpass,Bridge,Bridge,2011/11/29,2,P158,13.34,136.80,22.30,4,Continuous,2010/01/02
P158_2_B3305,Road D1027 Overpass,Bridge,Bridge,2011/11/29,2,P158,15.52,84.50,13.51,4,Continuous,1978/07/01
P158_2_B3344,Old Johannesburg Road,Bridge,Bridge,2011/11/25,2,P158,40.70,86.00,16.46,4,Simply supported,1977/01/02
P158_2_B3345A,R55 Ic Bridge A,Bridge,Bridge,2011/11/25,2,P158,34.70,92.60,13.41,4,Continuous,
P158_2_B3345B,R55 Ic Bridge B,Bridge,Bridge,2011/11/25,2,P158,34.70,92.60,17.07,4,Continuous,1977/01/02
P158_2_B3348,Rooihuiskraal Overpass,Bridge,Bridge,2011/11/25,2,P158,38.60,64.00,14.02,2,Continuous,1976/01/02
P158_2_B3422A,Olievenhoutbos Subway A,Bridge,Bridge,2011/11/25,2,P158,36.20,34.40,21.82,3,Frame,
P158_2_B3422B,Olievenhoutbos Subway B,Bridge,Bridge,2011/11/25,2,P158,36.20,34.40,21.82,3,Frame,
P158_2_B3512A,Jukskei River Bridge A (N014EB),Bridge,Bridge,2011/11/29,2,P158,18.42,114.90,16.34,4,Continuous,1975/01/02
P158_2_B3512B,Jukskei River Bridge B (N014WB),Bridge,Bridge,2011/11/29,2,P158,18.45,114.90,16.34,4,Continuous,1975/01/02
P158_2_B3513,Access Road Overpass,Bridge,Bridge,2011/11/24,2,P158,22.17,109.60,11.08,4,Continuous,
P158_2_B3514,R114 Overpass,Bridge,Bridge,2011/11/24,2,P158,22.60,99.30,17.35,4,Continuous,
P158_2_B3515A,Diepsloot I/C Bridge B,Bridge,Bridge,2011/11/24,2,P158,26.40,97.20,16.31,4,Continuous,
P158_2_B3515B,Diepsloot I/C Bridge A,Bridge,Bridge,2011/11/24,14E,N014,26.30,97.20,16.31,4,Continuous,1975/01/02
P158_2_B3517,Knoppieslaagte Road Overpass,Bridge,Bridge,2011/11/25,2,P158,29.90,110.70,13.65,4,Continuous,
P158_2_B3518,Monument Drive Overpass,Bridge,Bridge,2011/11/25,2,P158,32.80,94.10,13.65,4,Continuous,
P158_2_B5551,Total Petroport Pedestrian Bridge,Bridge,Bridge,2011/12/01,2,P158,17.02,161.60,2.50,11,Frame,1978/07/01
P159_01N_B3788A,3788(A) over Daspoort to Mountainview Rail,Bridge,Bridge,2012/10/05,01N,P159,0.46,95.30,13.90,6,Continous and simply supported,1983/01/02
P159_01N_B3788B,3788(B) over Daspoort to Mountainview Rail,Bridge,Bridge,2012/10/05,01N,P159,0.46,92.90,12.90,6,Continous and simply supported,
P159_01N_B3789,3789 Hendrik Street over P159-1,Bridge,Bridge,2012/10/08,01N,P159,1.45,169.00,17.95,7,Continuous,1983/01/02
P159_01N_B3790,3790 Dorp Street over P159-1,Bridge,Bridge,2012/10/08,01N,P159,2.59,79.60,17.65,3,Continuous,1983/01/02
P159_01N_B3792A,3792(A) Bremer Street North over P159-1,Bridge,Bridge,2012/10/08,01N,P159,3.52,129.50,14.75,4,Continuous,1983/01/02
P159_01N_B3792B,3792(B) Bremer Steet North over P159-1,Bridge,Bridge,2012/10/08,01N,P159,3.54,129.50,14.55,4,Continuous,1983/01/02
P159_01N_B4040,NB01 Lady Selborne Pedestrian Bridge,Bridge,Bridge,2012/10/08,01N,P159,4.28,146.60,3.78,6,Continous and simply supported,
P159_01N_B4299A,R.W.B. Pipe over Canal,Bridge,Bridge,2000/01/01,1,P159,1.72,25.14,1.40,1,,1985/01/01
P159_01N_B4299B,Road P159-1 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,1,P159,1.72,2.30,82.30,1,,1983/01/01
P16_01N_B1424,Steenkoppie Bridge 1424,Bridge,Bridge,2012/10/09,01N,P16,27.80,19.00,9.70,3,Simply supported,
P16_01N_B269,Steenkoppie Bridge 269,Bridge,Bridge,2012/10/09,01N,P16,30.10,19.40,14.50,3,Simply supported,1980/01/02
P16_01N_B397,Thorndale Bridge 397,Bridge,Bridge,2012/10/04,01N,P16,37.40,17.80,11.50,5,Simply supported,
P162_01N_B4179,P162/1-01,Bridge,Bridge,2012/10/17,01N,P162,2.69,45.60,14.25,3,Simply supported,1980/01/02
P174_01N_B2119,River Bridge over the Boesman River,Bridge,Bridge,2012/10/04,01N,P174,18.00,33.00,10.30,4,Simply supported,1984/01/02
P175_01N_B1877,-,Bridge,Bridge,2012/10/27,01N,P175,5.00,24.30,9.90,3,Simply supported,
P175_01N_B1878,-,Bridge,Bridge,2012/10/27,01N,P175,7.50,19.60,10.00,3,Simply supported,
P186_1_B1723A,Klip River Bridge A,Bridge,Bridge,2011/10/20,1,P186,90.41,33.20,12.98,4,Simply supported,1980/07/01
P186_1_B1723B,Klip River Bridge B,Bridge,Bridge,2011/10/19,1,P186,90.41,33.20,12.98,4,Simply supported,1980/07/01
P186_1_B1724A,Midway-Lenz Road over Rail (N12NB),Bridge,Bridge,2011/10/20,1,P186,91.03,30.60,15.80,2,Simply supported,1980/07/01
P186_1_B1724B,Midway-Lenz Road over Rail (N12SB),Bridge,Bridge,2011/10/20,1,P186,94.49,28.40,15.03,2,Simply supported,1980/07/01
P186_1_B1725A,Protea South Rail Bridge A,Bridge,Bridge,2011/10/17,1,P186,91.22,11.80,16.00,1,Simply supported,1980/07/01
P186_1_B1725B,Protea South Rail Bridge B,Bridge,Bridge,2011/10/20,1,P186,94.71,10.20,19.15,1,Simply supported,1980/07/01
P186_1_B1726A,St Marks St. Underpass,Bridge,Bridge,2011/10/19,1,P186,94.78,13.00,26.80,1,Frame,1979/07/01
P186_1_B1726B,St Marks Street Underpass (N12SB),Bridge,Bridge,2011/10/19,1,P186,98.28,12.90,13.70,1,Frame,1979/07/01
P186_1_B1726C,St Marks Street Underpass (N12SB offramp),Bridge,Bridge,2011/10/19,1,P186,98.29,12.70,29.98,1,Frame,1979/07/01
P186_1_B1727A,Klipspruit Bridge A,Bridge,Bridge,2011/10/18,1,P186,94.99,95.00,15.70,10,Simply supported,1979/07/01
P186_1_B1727B,Klipspruit Bridge B,Bridge,Bridge,2012/01/09,1,P186,98.51,93.80,13.20,10,Simply supported,1979/07/01
P186_1_B1728,East Road Overpass,Bridge,Bridge,2011/10/18,1,P186,95.92,55.80,11.90,4,Simply supported,1979/07/01
P186_1_B1729A,Concorde Road Underpass (N12NB),Bridge,Bridge,2011/10/18,1,P186,97.39,50.00,15.42,4,Simply supported,1979/07/01
P186_1_B1729B,Concorde Road Underpass (N12SB),Bridge,Bridge,2011/11/03,1,P186,100.89,11.89,13.14,1,Simply supported,1980/07/01
P186_1_B3945A,Golden Highway (R553) Overpass Bridge A,Bridge,Bridge,2011/10/17,1,P186,99.23,77.00,14.35,2,Continuous,1979/07/01
P186_1_B3945B,Golden Highway (R553) Overpass Bridge B,Bridge,Bridge,2011/10/17,1,P186,99.26,77.80,14.35,2,Continuous,1966/01/01
P186_1_B4101,Lizard Street Overpass,Bridge,Bridge,2011/10/19,1,P186,91.98,64.50,14.20,2,Continuous,1980/07/01
P186_1_B4102A,Lenasia I/C: Klipspruit Valley (M10) Bridge A (N12 EB),Bridge,Bridge,2011/10/19,1,P186,94.25,52.40,15.44,2,Continuous,1979/07/01
P186_1_B4102B,Lenasia I/C: Klipspruit Valley (M10) Bridge B (N12 WB),Bridge,Bridge,2011/10/19,1,P186,97.75,52.60,15.44,2,Continuous,1979/07/01
P186_1_B5512,Eldorado Park Pedestrian Bridge,Bridge,Bridge,2011/10/18,1,P186,96.63,91.40,2.50,4,Continous and simply supported,1979/07/01
P2_04N_B142,142 over Swartspruit,Bridge,Bridge,2012/11/22,04N,P2,16.75,27.40,13.22,4,Simply supported,
P2_05N_B1658,Edendale River Bridge,Bridge,Bridge,2012/11/07,05N,P2,12.20,19.00,11.70,2,Simply supported,
P2_05N_B1787,River Bridge,Bridge,Bridge,2012/11/07,05N,P2,7.60,32.00,10.20,2,Continuous,
P2_05N_B3204,Moraleta River Bridge 2,Bridge,Bridge,2012/10/26,05N,P2,0.35,13.40,27.50,3,Cellular,1986/01/02
P2_05N_B3205,Moraleta River Bridge 1,Bridge,Bridge,2012/10/26,05N,P2,0.85,28.30,62.40,3,Cellular,1986/01/02
P2_05N_B4240,Rail Bridge,Bridge,Bridge,2012/11/07,05N,P2,9.85,38.20,12.80,3,Simply supported,
P200_01N_B3794,3794 Start P200-1,Bridge,Bridge,2012/10/09,01N,P200,0.01,123.00,12.50,4,Continuous,1981/01/02
P200_01N_B4000,4000 over Sarel Ave,Bridge,Bridge,2012/10/09,01N,P200,0.84,54.10,15.30,2,Continuous,1981/01/02
P200_01N_B4001,4001 over Sarel Ave,Bridge,Bridge,2012/10/09,01N,P200,0.84,64.30,23.50,2,Continuous,1981/01/02
P200_01N_B4002A,4002A over 7th Ave,Bridge,Bridge,2012/10/09,01N,P200,2.50,52.10,18.50,3,Continuous,1981/01/02
P200_01N_B4002B,4002B over 7th Ave,Bridge,Bridge,2012/10/09,01N,P200,2.50,51.90,24.60,3,Continuous,1981/01/02
P200_01N_B4003A,4003A Brits Rd over P200-1,Bridge,Bridge,2012/10/09,01N,P200,3.10,76.40,14.60,2,Continuous,1981/01/02
P200_01N_B4003B,4003B Brits Rd over R200-1,Bridge,Bridge,2012/10/09,01N,P200,3.07,76.40,14.35,2,Continuous,1981/01/02
P200_01N_B4004A,NB03 over Daan De Wet Nel Dr,Bridge,Bridge,2012/10/11,01N,P200,6.44,55.00,18.45,2,Continuous,1983/01/02
P200_01N_B4004B,NB02 over Daan De Wet Nel Dr,Bridge,Bridge,2012/10/11,01N,P200,6.44,55.00,18.25,2,Continuous,1983/01/02
P200_01N_B4054A,NB06 over Akasiaboom to Winternest rail,Bridge,Bridge,2012/10/11,01N,P200,7.22,76.40,18.70,3,Simply supported,1983/01/02
P200_01N_B4054B,NB07 over Akasiaboom to Winternest rail,Bridge,Bridge,2012/10/15,01N,P200,7.22,73.70,21.70,3,Simply supported,1983/01/02
P200_01N_B4116A,4116A R566 over P200-1,Bridge,Bridge,2012/10/15,01N,P200,8.21,123.80,20.34,4,Continuous,1983/01/02
P200_01N_B4117,NB09 Agricultural overpass over P200-1,Bridge,Bridge,2012/10/15,01N,P200,9.61,76.40,5.30,2,Continuous,1983/01/02
P200_01N_B4118A,P200/1 (R80) over Kaalplaasspruit,Bridge,Bridge,2012/10/15,01N,P200,12.43,24.40,20.40,4,Cellular,1980/01/02
