Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
D2150_01N_B2778,-,Bridge,Bridge,2012/10/29,01N,D2150,4.10,13.90,9.09,1,Simply supported,
D2204_01N_B5227,D2204-01,Bridge,Bridge,2012/10/30,01N,D2204,15.86,33.60,13.90,3,Simply supported,
D2205_01N_B5413,Road over Rail Leondale Rd  (K123),Bridge,Bridge,2012/10/17,01N,D2205,2.10,40.10,16.25,3,Simply supported,
D2205_01N_B5414,Road over Rail Leondale Road near Rondebult Station,Bridge,Bridge,2012/10/17,01N,D2205,2.54,24.30,16.25,2,Continuous,
D2266_01N_B4158,4158 over Wildebeesthoek to Lynross rail,Bridge,Bridge,2012/10/17,01N,D2266,1.52,24.40,12.70,1,Simply supported,1980/01/02
D2377_01N_B1106,Bronkhorstspruit River,Bridge,Bridge,2012/09/28,01N,D2377,0.50,29.30,11.70,5,Simply supported,
D25_01N_B1161,Malan River Bridge,Bridge,Bridge,2012/10/24,01N,D25,13.00,15.50,8.00,3,Simply supported,
D25_01N_B2677,Elands River Bridge,Bridge,Bridge,2012/10/24,01N,D25,8.70,24.80,11.90,3,Simply supported,1968/01/02
D2666_01N_B1399,Rail over Road at Jameson Park,Bridge,Bridge,2012/10/11,01N,D2666,1.00,8.94,13.40,1,Simply supported,1932/01/02
D2666_01N_B434,River Bridge over Tributary of the Blesbok River near Jameson Park,Bridge,Bridge,2012/10/11,01N,D2666,1.30,20.20,9.30,3,Simply supported,1968/01/02
D2757_01N_B2276,NB031 over Kekane to Spykerras Rail,Bridge,Bridge,2012/11/07,01N,D2757,0.32,29.30,14.24,3,Simply supported,
D2757_01N_B2576,2576 over Apies River,Bridge,Bridge,2012/11/07,01N,D2757,0.67,97.10,13.46,6,Simply supported,1968/01/02
D2758_01N_B3998,3998 over Akasiaboom to Labeleng Rail,Bridge,Bridge,2012/10/22,01N,D2758,7.35,53.80,12.78,5,Continuous,
D2761_01N_B4442,unknown,Bridge,Bridge,2012/10/23,01N,D2761,5.50,62.00,13.40,3,Simply supported,1983/01/02
D2762_01N_B1539,D2762 (M6) over tributory of Pienaars River,Bridge,Bridge,2012/11/23,01N,D2762,14.00,16.60,12.30,2,Simply supported,1970/01/02
D31_01N_B4218,NB023 over Brits to Pienaarspoort Rail,Bridge,Bridge,2012/10/23,01N,D31,3.61,33.70,13.26,3,Simply supported,
D318_01N_B1501,NB022 over Metsi Metsuane River,Bridge,Bridge,2012/10/22,01N,D318,11.92,6.90,16.36,1,Simply supported,
D318_01N_B1502,NB021 over Kaalplaas River,Bridge,Bridge,2012/10/22,01N,D318,8.66,13.50,16.36,2,Simply supported,
D318_01N_B4344,4344 Ga-Rankuwa to Pienaarspoort Rail,Bridge,Bridge,2012/10/22,01N,D318,4.03,29.80,13.55,3,Simply supported,1980/01/02
D327_01N_B2003,NB041 over Pienaars River,Bridge,Bridge,2012/11/22,01N,D327,10.32,32.60,8.84,2,Simply supported,
D359_01N_B4390,Road D359 over canal,Bridge,Bridge,2012/10/04,01N,D359,7.00,15.70,10.05,1,Continuous,1982/01/02
D36_01N_B1442,Edendale River Bridge,Bridge,Bridge,2012/11/07,01N,D36,5.80,29.00,12.20,2,Continuous,1974/01/02
D36_01N_B4174,Rail Bridge,Bridge,Bridge,2012/10/26,01N,D36,5.30,34.40,10.30,3,Simply supported,
D37_01N_B1625,Pienaars River Bridge,Bridge,Bridge,2012/11/07,01N,D37,1.75,48.00,12.20,3,Continuous,1974/01/02
D37_01N_B1691,Roodeplaat River Bridge,Bridge,Bridge,2012/11/07,01N,D37,10.10,32.00,12.20,4,Continuous,1974/01/02
D37_01N_B4175,Rail Bridge,Bridge,Bridge,2012/11/07,01N,D37,2.20,44.50,10.00,3,Simply supported,
D374_01N_B4350,ZANDSPRUIT PEDESTRIAN BRIDGE,Bridge,Bridge,2012/11/13,01N,D374,8.10,40.40,2.50,2,Continous and simply supported,
D374_01N_B635,Elandsdrif Bridge 635,Bridge,Bridge,2012/10/02,01N,D374,4.40,50.30,10.80,3,Continuous,
D377_01N_B2205,D377-01,Bridge,Bridge,2012/10/10,01N,D377,15.50,29.20,9.35,3,Continous and simply supported,1966/01/02
D377_01N_B3698,D377-04,Bridge,Bridge,2012/10/11,01N,D377,33.00,19.50,12.50,3,Simply supported,
D377_01N_B3699,D377-03,Bridge,Bridge,2012/10/10,01N,D377,27.00,44.20,12.70,7,Simply supported,
D400_01N_B2089,Weltervreden Bridge 2089,Bridge,Bridge,2012/10/04,01N,D400,29.00,12.00,12.20,2,Continuous,
D401_01N_B1669,Hartbeesfontein Bridge 1669,Bridge,Bridge,2012/10/03,01N,D401,5.60,24.90,8.50,3,Simply supported,
D401_01N_B729,Hartbeesfontein Bridge 729,Bridge,Bridge,2012/10/03,01N,D401,1.30,38.50,5.80,7,Simply supported,
D434_01N_B2007,2007 over Apies River,Bridge,Bridge,2012/11/22,01N,D434,0.45,16.50,9.58,1,Simply supported,1963/01/02
D473_01N_B3123,-,Bridge,Bridge,2012/10/28,01N,D473,1.50,13.60,22.20,1,Simply supported,
D473_01N_B3124,-,Bridge,Bridge,2012/10/28,01N,D473,1.90,37.60,12.40,4,Simply supported,
D473_01N_B3453,-,Bridge,Bridge,2012/10/28,01N,D473,5.30,10.40,12.10,2,Simply supported,
D478_01N_B2294,Road D478 over river,Bridge,Bridge,2012/10/04,01N,D478,1.00,20.00,10.00,2,Simply supported,1966/01/02
D48_01N_B1373,1373 over Boekenhoutspruit,Bridge,Bridge,2012/11/08,01N,D48,12.02,26.40,13.45,4,Simply supported,1984/01/02
D48_01N_B4515,4515 over Pienaars River,Bridge,Bridge,2012/11/08,01N,D48,3.93,49.00,13.05,3,Simply supported,1982/01/02
D48_01N_B4516,4516 over Tributary to Pienaars River,Bridge,Bridge,2012/11/08,01N,D48,5.14,14.40,13.35,2,Simply supported,1982/01/02
D48_01N_B4517,NB033 over Tributary to Boekenhoutspruit,Bridge,Bridge,2012/11/08,01N,D48,7.58,26.00,13.45,3,Simply supported,
D483_01N_B2985,Rail Bridge 2985 on Route 19.5,Bridge,Bridge,2012/09/27,01N,D483,19.50,26.20,12.30,2,Continous and simply supported,
D51_01N_B4725,Isando Road Pedestrian Bridge,Bridge,Bridge,2012/10/11,01N,D51,0.10,226.00,2.70,4,Simply supported,1987/01/02
D540_01N_B3146,Kromdraai Bridge 3146,Bridge,Bridge,2012/10/03,01N,D540,3.20,18.80,12.40,1,Simply supported,
D540_01N_B587,D540 over Bloubankspruit (Kromdraai Bridge),Bridge,Bridge,2012/10/02,01N,D540,6.50,15.80,5.40,3,Simply supported,
D567_01N_B4846,River Bridge,Bridge,Bridge,2012/10/24,01N,D567,38.36,9.90,15.30,1,Simply supported,1985/01/02
D57_01N_B1111,Rail over road D57 At km 1.0 over,Bridge,Bridge,2012/10/09,01N,D57,1.00,30.00,25.50,1,Plate girder,
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,2012/10/09,01N,D57,3.00,60.80,18.40,2,Simply supported,
D604_01N_IDB0945,"NB024 over Mabopane to Soshanguve Rail, M17 and Access Road",Bridge,Bridge,2012/10/23,01N,D604,3.92,145.90,13.06,8,Continous and simply supported,
D604_01N_IDB1954,"NB025 over Mabopane to Soshanguve Rail, M17 and Access Rd",Bridge,Bridge,2012/11/05,01N,D604,3.92,145.90,12.10,8,Continous and simply supported,
D61_01N_IDB1654, D61 over rail at Jameson Park,Bridge,Bridge,2012/09/28,,D61,,21.40,7.40,5,Simply supported,
