Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,X-Coord,Y-Coord,Analysis Date,Total Cost
D101_01N_B2705,D101 over Crocodile River,Bridge,Bridge,2012/10/02,01N,D101,1.70,27.88,-25.95,2022/06/30,181760.00
D1017_01N_B1443,D1017-03,Bridge,Bridge,2012/10/10,01N,D1017,3.60,27.79,-26.58,2022/06/30,129680.00
D1017_01N_B2413,D1017-02,Bridge,Bridge,2012/10/10,01N,D1017,8.00,27.69,-26.55,2022/06/30,56400.00
D1017_01N_B2443,Bridge 2443,Bridge,Bridge Cellular,2012/10/20,01N,D1017,14.30,27.69,-26.55,2022/06/30,6480.00
D1017_01N_IDC1460,Drainage,Major Culvert,Culvert Major,2012/10/20,01N,D1017,16.30,27.67,-26.55,2022/06/30,45000.00
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,2012/11/09,01N,D1027,7.10,27.96,-25.98,2022/06/30,288380.00
D1027_01N_B3073,Nooitgedacht Bridge B1,Bridge,Bridge Cellular,2016/04/22,,D1027,,27.91,-25.97,2022/06/30,205300.00
D1027_01N_B3074,Nooitgedacht Bridge B2,Bridge,Bridge Cellular,2016/04/22,,D1027,,27.88,-25.96,2022/06/30,50700.00
D1027_01N_IDC1801,Tributory to Krokodilrivier,Major Culvert,Culvert Major,2012/10/24,01N,D1027,0.40,27.92,-25.97,2022/06/30,3150.00
D1027_01N_IDC2756,Culvert New Lanseria (Route D1027 at km 10.38),Major Culvert,Culvert Major,2012/10/29,01N,D1027,10.38,27.93,-25.97,2022/06/30,63300.00
D1059_01N_IDC0884,Culvert (597),Major Culvert,Culvert Major,2012/10/18,01N,D1059,2.60,28.80,-26.35,2022/06/30,30280.00
D1059_01N_IDC0902,"Culvert (600), Tributary to Wilgerivier",Major Culvert,Culvert Major,2012/10/18,01N,D1059,1.10,28.80,-26.34,2022/06/30,31920.00
D1059_01N_IDC0904,"Culvert (611), Tribute to Wilgerivier",Major Culvert,Culvert Major,2012/10/18,01N,D1059,0.10,28.81,-26.33,2022/06/30,33070.00
D1060_01N_IDC0756,"Culvert (343), Blesbokspruit",Major Culvert,Culvert Major,2012/10/17,01N,D1060,5.80,28.76,-26.47,2022/06/30,0.00
D1073_01N_C5117,drainage,Major Culvert,Culvert Major,2012/11/02,01N,D1073,8.60,28.03,-26.45,2022/06/30,47500.00
D1073_01N_IDC2321,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D1073,11.20,28.01,-26.46,2022/06/30,0.00
D1113_01N_B4324,D1113-01,Bridge,Bridge,2012/10/09,01N,D1113,2.70,27.71,-26.68,2022/06/30,5790.00
D1113_01N_B4325,D1113-02,Bridge,Bridge,2012/10/09,01N,D1113,5.40,27.69,-26.66,2022/06/30,6240.00
D1114_01N_IDC2900,D1114-01,Major Culvert,Culvert Major,2012/10/23,01N,D1114,3.79,27.65,-26.40,2022/06/30,0.00
D1132_01N_B2808,unknown,Bridge,Bridge,2012/10/26,01N,D1132,2.00,28.28,-26.08,2022/06/30,62300.00
D1132_01N_C4274,unknown,Major Culvert,Culvert Major,2012/10/26,01N,D1132,8.40,28.32,-26.10,2022/06/30,15120.00
D1132_01N_IDC2305,unknown,Major Culvert,Culvert Major,2012/10/26,01N,D1132,1.70,28.28,-26.08,2022/06/30,6300.00
D1148_01N_IDC1605,pc6,Major Culvert,Culvert Major,2012/10/25,01N,D1148,21.40,28.49,-25.68,2022/06/30,12600.00
D1148_01N_IDC1734,PC2,Major Culvert,Culvert Major,2012/10/24,01N,D1148,6.90,28.58,-25.55,2022/06/30,76600.00
D1148_01N_IDC1745,PC1,Major Culvert,Culvert Major,2012/10/24,01N,D1148,10.25,28.61,-25.55,2022/06/30,26060.00
D1188_01N_B4201,unknown,Bridge,Bridge,2012/10/23,01N,D1188,5.20,28.47,-26.14,2022/06/30,21850.00
D1188_01N_B4754,Unknown,Bridge,Bridge Cellular,2012/10/23,01N,D1188,2.20,28.45,-26.14,2022/06/30,145840.00
D1188_01N_C4635,Unknown,Major Culvert,Culvert Major,2012/10/23,01N,D1188,4.00,28.46,-26.14,2022/06/30,0.00
D1188_01N_IDC1562,unknown,Major Culvert,Culvert Major,2012/10/23,01N,D1188,4.05,28.46,-26.14,2022/06/30,7500.00
D1215_01N_B3265,Koesterfontein Bridge 3265,Bridge,Bridge,2012/10/10,01N,D1215,8.20,27.44,-26.02,2022/06/30,90560.00
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,2012/10/10,01N,D1240,3.00,28.09,-26.45,2022/06/30,91830.00
D1240_01N_B3367,Road D1240 over rail,Bridge,Bridge,2012/10/10,01N,D1240,1.00,28.08,-26.45,2022/06/30,31430.00
D1240_01N_B3402,Road D1240 over stream and cattle creep,Bridge,Bridge Cellular,2016/06/03,,D1240,1.00,28.11,-26.50,2022/06/30,29330.00
D1240_01N_B3403,Road D1240 over river,Bridge,Bridge,2012/10/08,01N,D1240,10.00,28.13,-26.51,2022/06/30,18830.00
D1240_01N_B3404,Road D1240 over river,Bridge,Bridge Cellular,2016/06/03,,D1240,1.00,28.16,-26.54,2022/06/30,10590.00
D1240_01N_B3405,Road D1240 over river,Bridge,Bridge Cellular,2016/06/03,,D1240,1.00,28.16,-26.56,2022/06/30,30570.00
D1240_01N_B4484,Rail over Road D1240 ,Bridge,Bridge,2012/10/10,01N,D1240,1.50,28.09,-26.46,2022/06/30,15000.00
D1313_01N_IDC2320,drainage,Major Culvert,Culvert Major,2012/10/13,01N,D1313,13.00,27.96,-26.39,2022/06/30,9140.00
D1313_01N_IDC2324,drainage,Major Culvert,Culvert Major,2012/10/13,01N,D1313,17.10,27.94,-26.37,2022/06/30,0.00
D1316_01N_B1564,D1316 over Osspruit,Bridge,Bridge,2012/10/09,,D1316,,28.59,-25.93,2022/06/30,61700.00
D1316_01N_B4443,D1316 over rail,Bridge,Bridge,2012/10/23,01N,D1316,17.80,28.53,-25.99,2022/06/30,30080.00
D1321_01N_B4388,Road D1321 over canal,Bridge,Bridge,2012/10/04,01N,D1321,1.00,28.25,-26.74,2022/06/30,5760.00
D1321_01N_B4389,Road D1321 over river,Bridge,Bridge Cellular,2016/06/02,,D1321,9.00,28.03,-26.74,2022/06/30,2520.00
D1321_01N_B4406,Road D1321 over river,Bridge,Bridge Cellular,2016/06/03,,D1321,14.00,28.04,-26.78,2022/06/30,10800.00
D1321_01N_B483,Road D1321 over river,Bridge,Bridge,2012/10/04,01N,D1321,2.00,28.02,-26.67,2022/06/30,217500.00
D1321_01N_IDC2020,D1321 over stream,Major Culvert,Culvert Major,2012/10/04,01N,D1321,17.00,28.06,-26.80,2022/06/30,5040.00
D1322_01N_B3161,D1322 over R.W.B. Pipes,Bridge,Bridge,2000/01/01,,D1322,,28.05,-26.49,2022/06/30,46250.00
D1322_01N_C5085,drainage,Major Culvert,Culvert Major,2012/10/13,01N,D1322,7.40,28.00,-26.46,2022/06/30,16780.00
D1333_01N_B1444,1444 over Boekenhoutspruit,Bridge,Bridge,2012/11/08,01N,D1333,4.75,28.42,-25.37,2022/06/30,1500.00
D1386_01N_B2397,Roodeplaat River Bridge,Bridge,Bridge,2012/10/25,01N,D1386,14.40,28.37,-25.60,2022/06/30,108150.00
D1386_01N_B2398,Pienaars River Bridge,Bridge,Bridge,2012/10/25,01N,D1386,13.40,28.37,-25.61,2022/06/30,39400.00
D1386_01N_B2470,Krokodil River Bridge,Bridge,Bridge,2012/10/25,01N,D1386,23.30,28.43,-25.54,2022/06/30,48310.00
D1386_01N_B2475,Boekenhoutskloof River Bridge,Bridge,Bridge,2012/10/25,01N,D1386,25.60,28.45,-25.53,2022/06/30,36850.00
D1386_01N_B4173,Rail Bridge,Bridge,Bridge,2012/10/25,01N,D1386,14.50,28.32,-25.64,2022/06/30,115180.00
D1386_01N_B4855,Moreleta River Bridge 3,Bridge,Bridge,2012/10/26,01N,D1386,1.80,28.29,-25.68,2022/06/30,17725.00
D1463_01N_B2729,Road D1463 over rail,Bridge,Bridge,2012/10/09,01N,D1463,9.00,28.06,-26.63,2022/06/30,32350.00
D1463_01N_B2807,Road D1463 over river,Bridge,Bridge,2012/10/09,01N,D1463,0.15,28.07,-26.56,2022/06/30,60860.00
D1496_01N_B3839,Driefontein Bridge 3839,Bridge,Bridge,2012/10/02,01N,D1496,1.00,27.84,-26.03,2022/06/30,18000.00
D1496_01N_IDC1800,Tributary to Krokodil Rivier,Major Culvert,Culvert Major,2012/10/24,01N,D1496,3.50,27.83,-26.02,2022/06/30,11250.00
