Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
K175_01N_IDC0397,Culvert at km 22.5 on Route K175,Major Culvert,Culvert Major,2012/09/28,01N,K175,22.50,2022/06/30,2016/04/26,74968.00,145860.00,152812.50,15000.00,62844.00,24450,,,,,2.5,2.5,0.10,,,,,,,,,,0.589,47
D83_01N_B2120,D83 (R54) over Suikerbosrant  River,Bridge,Bridge,2012/10/04,01N,D83,6.00,2022/06/30,2016/05/19,14675367.00,27874504.00,31977180.00,289950.00,17011859.00,45140,80.50,8.80,9.00,,,,,,,,,,,,,1.00,0.468,58
D964_01N_IDC2836,New Culvert C02,Major Culvert,Culvert Major,2012/11/12,01N,D964,6.10,2022/06/30,2016/04/27,102873.00,223519.00,227385.00,31000.00,93512.00,24450,,,,,3.1,3,1.00,,,,,,,,,,0.589,47
D766_01N_C3155,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D766,0.50,2022/06/30,2016/06/02,1032989.00,1948176.00,1948176.00,114000.00,801187.00,24450,,,,,9.6,8.3,1.00,,,,,,,,,,0.589,47
K198_01N_B5292A,K198-02,Bridge,Bridge,2012/10/31,01N,K198,28.20,2022/06/30,2016/03/30,9858533.00,15792126.00,18666820.00,34880.00,8773403.00,30100,45.60,13.60,7.20,,,,,,,,,,,,,1.00,0.53,47
D962_01N_B3604,D962-03,Bridge,Bridge,2012/10/16,01N,D962,7.80,2022/06/30,2016/04/18,2424939.00,4900800.00,5047168.00,250060.00,2372169.00,30100,13.10,12.80,2.30,,,,,,,,,,,,,1.00,0.53,47
K13_01N_IDC2692,k13-06,Major Culvert,Culvert Major,2012/11/01,01N,K13,3.78,2022/06/30,2016/05/20,921276.00,1564800.00,1564800.00,0.00,643524.00,24450,,,,,8,8,0.90,,,,,,,,,,0.589,47
K175_01N_B5103A,Railway Bridge on Route K175,Bridge,Bridge,2012/09/27,01N,K175,21.50,2022/06/30,2016/02/25,6527499.00,11998544.00,12328960.00,6850.00,5794611.00,30100,32.00,12.80,6.30,,,,,,,,,,,,,1.00,0.53,47
K103_01N_B748B,Bridge B on Route K103 WBC,Bridge,Bridge,2012/10/17,01N,K103,2.50,2022/06/30,2016/06/27,49488337.00,88524865.00,93439800.00,34760.00,43916703.00,45140,138.00,15.00,9.50,,,,,,,,,,,,,1.00,0.53,47
K175_01N_B5104A,River Bridge on route K175,Bridge,Bridge,2012/09/27,01N,K175,23.90,2022/06/30,2016/02/25,3744191.00,6737066.00,7133700.00,36670.00,3352839.00,30100,15.80,15.00,6.00,,,,,,,,,,,,,1.00,0.53,47
D795_01N_IDC2152,NOORDWYK CULVERT,Major Culvert,Culvert Major,2012/11/07,01N,D795,12.40,2022/06/30,2016/06/20,1343799.00,2250459.00,2371650.00,52510.00,975341.00,24450,,,,,19.4,5,0.00,,,,,,,,,,0.589,47
D83_01N_IDC2013,D83 over spruit,Major Culvert,Culvert Major,2012/10/03,01N,D83,1.00,2022/06/30,2016/06/04,95250.00,184490.00,195600.00,19910.00,80440.00,24450,,,,,4,2,0.30,,,,,,,,,,0.589,47
K103_01N_B4866A,Hennops River Bridge 1,Bridge,Bridge,2012/10/17,01N,K103,4.36,2022/06/30,2016/06/28,7058590.00,10706708.00,11051520.00,14380.00,3978546.00,30100,26.80,13.70,3.80,,,,,,,,,,,,,1.00,0.64,36
K111_01N_IDB2149,IVORY PARK BRIDGE 1,Bridge,Bridge,2012/11/07,01N,K111,2.20,2022/06/30,2016/06/24,1957118.00,3613589.00,3792600.00,52960.00,1782522.00,30100,9.00,14.00,5.70,,,,,,,,,,,,,1.00,0.53,47
D83_01N_IDC2016,D83 over spruit,Major Culvert,Culvert Major,2012/10/03,01N,D83,30.00,2022/06/30,2016/07/29,92884.00,176040.00,176040.00,10760.00,72396.00,24450,,,,,4,1.8,0.50,,,,,,,,,,0.589,47
D93_01N_B4634,D93-01,Bridge,Bridge,2012/10/30,01N,D93,12.20,2022/06/30,2016/04/21,1685533.00,2653208.00,2851072.00,25110.00,1140429.00,30100,7.40,12.80,5.70,,,,,,,,,,,,,1.00,0.6,40
K13_01N_IDC2726,k13-09,Major Culvert,Culvert Major,2012/11/01,01N,K13,5.87,2022/06/30,2016/05/19,240683.00,408804.00,408804.00,0.00,168121.00,24450,,,,,4.4,3.8,1.60,,,,,,,,,,0.589,47
D878_01N_B1138,Road D878 over river,Bridge,Bridge,2012/10/09,01N,D878,1.00,2022/06/30,2016/05/16,5916686.00,10275375.00,11758070.00,315090.00,5526291.00,45140,29.60,8.80,8.20,,,,,,,,,,,,,1.00,0.53,47
K103_01N_B4867A,Hennops River Bridge 2,Bridge,Bridge,2012/10/17,01N,K103,4.43,2022/06/30,2016/06/28,3714895.00,5713765.00,5810805.00,4020.00,2091890.00,30100,13.50,14.30,3.80,,,,,,,,,,,,,1.00,0.64,36
K175_01N_IDC0471,Culvert at km 26 on route K175,Major Culvert,Culvert Major,2012/09/27,01N,K175,26.00,2022/06/30,2016/04/26,181604.00,302171.00,311004.00,1500.00,127900.00,24450,,,,,4.24,3,0.50,,,,,,,,,,0.589,47
D960_01N_IDC0350,Culvert at km 20 on Route D960,Major Culvert,Culvert Major,2012/09/25,01N,D960,20.00,2022/06/30,2016/04/27,393824.00,1110371.00,1294139.00,368100.00,532214.00,24450,,,,,7.9,6.7,0.00,,,,,,,,,,0.589,47
D96_01N_IDC1109,Tributory to Magaliesriver C2,Major Culvert,Culvert Major,2012/10/17,01N,D96,6.40,2022/06/30,2016/05/11,1612224.00,2544230.00,2781188.00,25200.00,1143763.00,24450,,,,,9.1,12.5,2.00,,,,,,,,,,0.589,47
D817_01N_B4514,Road D817 over rail,Bridge,Bridge,2012/10/08,01N,D817,3.00,2022/06/30,2016/04/28,9443941.00,14127011.00,15068810.00,49410.00,5575461.00,30100,37.50,13.35,5.10,,,,,,,,,,,,,1.00,0.63,37
D93_01N_IDC1508,D93-02,Major Culvert,Culvert Major,2012/10/31,01N,D93,0.67,2022/06/30,2016/05/19,702284.00,1175407.00,1198050.00,3067.50,492698.00,24450,,,,,7,7,0.50,,,,,,,,,,0.589,47
K27_01N_B5145A,K27 over rail,Bridge,Bridge,2012/10/17,01N,K27,55.60,2022/06/30,2016/06/24,7893735.00,14367588.00,14899500.00,3000.00,7002765.00,30100,33.00,15.00,7.00,,,,,,,,,,,,,1.00,0.53,47
D795_01N_IDC2834,Rietspruit River Culvert,Major Culvert,Culvert Major,2012/11/29,01N,D795,13.60,2022/06/30,2016/06/20,3874465.00,3849033.00,6947712.00,216000.00,2857247.00,24450,,,,,14.8,19.2,1.00,,,,,,,,,,0.589,47
K103_01N_IDC2865,Culvert at K103 km 0.1,Major Culvert,Culvert Major,2012/10/16,01N,K103,0.10,2022/06/30,2016/04/30,1292306.00,2194999.00,2194999.00,0.00,902693.00,24450,,,,,9.5,9.45,2.00,,,,,,,,,,0.589,47
D99_01N_IDC0743,Tibutory to Kleinrivier,Major Culvert,Culvert Major,2012/10/17,01N,D99,11.90,2022/06/30,2016/05/10,916446.00,1511440.00,1564800.00,4830.00,643524.00,24450,,,,,6.4,10,1.00,,,,,,,,,,0.589,47
D83_01N_IDC2015,D83 over Spruit,Major Culvert,Culvert Major,2012/10/03,01N,D83,1.00,2022/06/30,2016/07/29,1.00,216291.00,257580.80,372410.00,105930.00,24450,,,,,3.5,3.01,0.60,,,,,,,,,,0.589,47
D871_01N_B669,Road D871 over river,Bridge,Bridge,2012/10/02,01N,D871,1.00,2022/06/30,2016/05/19,2499804.00,4506172.00,4800950.00,44700.00,2256446.00,30100,29.00,5.50,3.50,,,,,,,,,,,,,1.00,0.53,47
K175_01N_IDC0423,Culvert on Route K175,Major Culvert,Culvert Major,2012/09/28,01N,K175,15.80,2022/06/30,2016/04/26,82915.00,140832.00,140832.00,0.00,57917.00,24450,,,,,2.4,2.4,1.00,,,,,,,,,,0.589,47
D96_01N_IDC1161,Tributory to Magaliesriver,Major Culvert,Culvert Major,2012/10/17,01N,D96,9.50,2022/06/30,2016/05/11,1916687.00,3280743.00,3280743.00,14850.00,1349206.00,29350,,,,,4.6,24.3,3.00,,,,,,,,,,0.589,47
K109_01N_IDB1884,uknown,Bridge,Bridge,2012/10/24,01N,K109,0.50,2022/06/30,2016/06/23,7573537.00,12738661.00,14411880.00,64760.00,6773583.00,30100,36.00,13.30,6.50,,,,,,,,,,,,,1.00,0.53,47
D99_01N_C549,Swartspruit,Major Culvert,Culvert Major,2012/10/17,01N,D99,0.70,2022/06/30,2016/05/10,528291.00,862490.00,914430.00,10080.00,376059.00,24450,,,,,6.8,5.5,0.00,,,,,,,,,,0.589,47
D766_01N_IDC2310,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D766,10.70,2022/06/30,2016/06/01,3867882.00,6295931.00,6576072.00,3780.00,2704410.00,24450,,,,,16.4,16.4,2.50,,,,,,,,,,0.589,47
D96_01N_B1314,Mattys Johannes Redelingshuys Bridge 1314,Bridge,Bridge,2012/10/04,01N,D96,10.20,2022/06/30,2016/06/30,17322089.00,31556015.00,33385540.00,372250.00,15691205.00,45140,86.00,8.60,14.00,,,,,,,,,,,,,1.00,0.53,47
K103_01N_IDC2551,Hennops Culvert East,Major Culvert,Culvert Major,2012/10/18,01N,K103,4.45,2022/06/30,2016/04/30,521475.00,734088.00,766752.00,3750.00,241527.00,24450,,,,,5.6,5.6,1.90,,,,,,,,,,0.685,36
K175_01N_B5102A,Honde River Bridge,Bridge,Bridge,2012/09/28,01N,K175,20.20,2022/06/30,2016/02/25,6692220.00,12472598.00,12642000.00,8040.00,5941740.00,30100,21.00,20.00,6.00,,,,,,,,,,,,,1.00,0.53,47
D962_01N_B3603,D962-02,Bridge,Bridge,2012/10/16,01N,D962,20.95,2022/06/30,2016/04/18,1713667.00,3053217.00,3261636.00,15000.00,1532969.00,30100,8.40,12.90,3.85,,,,,,,,,,,,,1.00,0.53,47
D98_01N_B1376,Zeekonhoek Bridge 1376,Bridge,Bridge,2012/10/09,01N,D98,4.40,2022/06/30,2016/04/01,3040195.00,5491032.00,5850236.00,60430.00,2749611.00,30100,22.60,8.60,4.60,,,,,,,,,,,,,1.00,0.53,47
D94_01N_IDC0815,D94-01,Major Culvert,Culvert Major,2012/10/11,01N,D94,15.00,2022/06/30,2016/05/31,1711787.00,1613834.00,2958450.00,30000.00,1216663.00,24450,,,,,11,11,0.00,,,,,,,,,,0.589,47
D766_01N_IDC2304,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D766,9.50,2022/06/30,2016/06/01,144504.00,268301.00,271395.00,15280.00,111611.00,24450,,,,,3.7,3,0.60,,,,,,,,,,0.589,47
D795_01N_IDC2151,SAVANNA HILLS CULVERT,Major Culvert,Culvert Major,2012/11/07,01N,D795,10.60,2022/06/30,2016/06/20,1667467.00,2335278.00,2864318.00,18900.00,1177951.00,24450,,,,,21.3,5.5,0.40,,,,,,,,,,0.589,47
K13_01N_IDC2676,K13-05,Major Culvert,Culvert Major,2012/11/01,01N,K13,3.37,2022/06/30,2016/05/20,1439494.00,2445000.00,2445000.00,0.00,1005506.00,24450,,,,,10,10,0.80,,,,,,,,,,0.589,47
D960_01N_B901,Bridge 901 over the Wilge River,Bridge,Bridge,2012/09/25,01N,D960,22.80,2022/06/30,2016/06/01,1833958.00,3777328.00,3991260.00,281410.00,1875892.00,30100,26.00,5.10,5.50,,,,,,,,,,,,,1.00,0.53,47
D962_01N_B3602,D962-01,Bridge,Bridge,2012/10/11,01N,D962,1.40,2022/06/30,2016/04/18,4582750.00,8599315.00,9064314.00,40050.00,4441514.00,30100,23.90,12.60,3.50,,,,,,,,,,,,,1.00,0.51,49
D766_01N_IDC2316,drainage,Major Culvert,Culvert Major,2012/10/12,01N,D766,13.35,2022/06/30,2016/06/02,415151.00,721275.00,721275.00,9500.00,296624.00,24450,,,,,5.9,5,1.00,,,,,,,,,,0.589,47
D83_01N_IDC2777,Road D83 over spruit,Major Culvert,Culvert Major,2012/10/03,01N,D83,26.00,2022/06/30,2016/06/04,406256.00,609722.00,696825.00,4000.00,286569.00,24450,,,,,5.7,5,0.80,,,,,,,,,,0.589,47
K13_01N_IDC2663,k13-04,Major Culvert,Culvert Major,2012/11/01,01N,K13,1.52,2022/06/30,2016/05/20,435447.00,630372.00,739612.50,0.00,304166.00,24450,,,,,5.5,5.5,1.30,,,,,,,,,,0.589,47
D964_01N_IDC2835,New Culvert C01,Major Culvert,Culvert Major,2012/11/12,01N,D964,1.20,2022/06/30,2016/04/27,132019.00,217757.00,227446.10,1890.00,93537.00,24450,,,,,3.05,3.05,1.00,,,,,,,,,,0.589,47
P1_02N_B2226,South Bound over P158/1,Bridge,Bridge,2012/10/19,02N,P1,4.50,2022/06/30,2016/06/29,32404310.00,64571102.00,68387100.00,147950.00,35834844.00,45140,121.20,12.50,8.00,,,,,,,,,,,,,1.00,0.476,56
P1_03N_B3201,3201 D1919 over P1-3,Bridge,Bridge,2012/11/06,03N,P1,16.62,2022/06/30,2016/03/09,21983985.00,40341149.00,43494500.00,2807880.00,18702635.00,30100,85.00,17.00,7.06,,,,,,,,,,,,,1.00,0.57,43
K8_01N_B4664A,4664(A) over Pretoria North to Meersig Rail,Bridge,Bridge,2012/10/16,01N,K8,0.88,2022/06/30,2016/03/10,10379455.00,19238468.00,19677270.00,49500.00,9248317.00,30100,46.20,14.15,6.22,,,,,,,,,,,,,1.00,0.53,47
K27_01N_IDB1796,R562 (K27) PEDESTRIAN BRIDGE,Bridge,Bridge,2012/10/17,01N,K27,52.62,2022/06/30,2016/06/24,14693054.00,16953588.00,17105830.00,17960.00,2394816.00,30100,227.32,2.50,7.33,,,,,,,,,,,,,1.00,0.86,14
K8_01N_B4664B,4664(B) Pretoria North to Meersig Rail,Bridge,Bridge,2012/10/16,01N,K8,0.88,2022/06/30,2016/03/10,10331253.00,19102509.00,19538210.00,24000.00,9182959.00,30100,46.20,14.05,7.17,,,,,,,,,,,,,1.00,0.53,47
P1_03N_IDC1661,Tributory to Apiesrivier,Major Culvert,Culvert Major,2012/10/31,03N,P1,34.90,2022/06/30,2016/04/01,2603783.00,4494009.00,5006138.00,343580.00,2058774.00,24450,,,,,6.5,31.5,1.00,,,,,,,,,,0.589,47
K69_01N_B5356A,Rail Bridge A,Bridge,Bridge,2012/11/06,01N,K69,4.20,2022/06/30,2016/02/23,2631286.00,4768512.00,4976012.00,6000.00,2338725.00,30100,14.80,11.17,5.88,,,,,,,,,,,,,1.00,0.53,47
P1_02N_B3809B,M7 West Bound,Bridge,Bridge,2012/10/19,02N,P1,6.07,2022/06/30,2016/03/17,29652936.00,43834141.00,47128420.00,509250.00,16966230.00,45140,78.50,13.30,8.60,,,,,,,,,,,,,1.00,0.64,36
P1_03N_IDC2706,Tributary to Apies River C5,Major Culvert,Culvert Major,2012/11/21,03N,P1,23.20,2022/06/30,2016/04/03,992965.00,1811479.00,1853555.00,98315.50,762274.00,24450,,,,,5.7,13.3,0.80,,,,,,,,,,0.589,47
K8_01N_B4056A,4056A over Akasiaboom to Winternest Rail,Bridge,Bridge,2012/10/17,01N,K8,9.24,2022/06/30,2016/02/24,9957707.00,16589545.00,16891910.00,8520.00,6925683.00,30100,42.10,13.33,6.57,,,,,,,,,,,,,1.00,0.59,41
P101_01N_IDC0775,"Culvert (468), Tributary to Vogelstruisbult dam",Major Culvert,Culvert Major,2012/10/17,01N,P101,11.10,2022/06/30,2016/06/09,467692.00,794380.00,794380.50,0.00,326689.00,24450,,,,,5.7,5.7,0.50,,,,,,,,,,0.589,47
P1_02N_B1015,P1-2 Hennops River Southbound Carriageway,Bridge,Bridge,2012/10/17,02N,P1,11.90,2022/06/30,2016/06/28,6288989.00,11302674.00,12027960.00,85830.00,5653141.00,30100,36.00,11.10,5.00,,,,,,,,,,,,,1.00,0.53,47
P101_01N_IDB1612,Pipe Bridge over road near Nigel on R42,Bridge,Bridge,2012/10/17,01N,P101,19.80,2022/06/30,2016/05/30,1808842.00,3107161.00,3495513.00,43780.00,1642891.00,30100,47.40,2.45,6.20,,,,,,,,,,,,,1.00,0.53,47
P1_03N_IDC2778,Tributory to Apies River C2,Major Culvert,Culvert Major,2012/11/21,03N,P1,16.00,2022/06/30,2016/04/02,4460064.00,6596282.00,7952118.00,221746.00,3270308.00,24450,,,,,17.3,18.8,1.80,,,,,,,,,,0.589,47
K8_01N_B4725B,4725(B) over Apies River,Bridge,Bridge,2012/10/16,01N,K8,0.45,2022/06/30,2016/03/15,9207468.00,21834435.00,23178810.00,3077300.00,10894038.00,30100,55.60,13.85,5.68,,,,,,,,,,,,,1.00,0.53,47
P1_02N_B3401A,South Road Underpass,Bridge,Bridge,2012/11/21,02N,P1,4.20,2022/06/30,2016/04/06,8155297.00,15038250.00,15417520.00,15990.00,7246234.00,30100,39.10,13.10,7.20,,,,,,,,,,,,,1.00,0.53,47
K27_01N_IDC1790,Hospital Road Culvert,Major Culvert,Culvert Major,2012/10/17,01N,K27,55.32,2022/06/30,2016/06/20,4515215.00,7669155.00,7669155.00,0.00,3153940.00,29350,,,,,40.2,6.5,5.00,,,,,,,,,,0.589,47
P101_02N_IDC0755,"Culvert (266), Tributary to Suikerbosrand river",Major Culvert,Culvert Major,2012/10/17,02N,P101,4.40,2022/06/30,2016/06/08,7458.00,162848.00,264150.00,148060.00,108632.00,29350,,,,,3,3,5.00,,,,,,,,,,0.589,47
K27_01N_B5144A,K27 over Hospital Road,Bridge,Bridge,2012/10/17,01N,K27,55.30,2022/06/30,2016/06/24,8039696.00,14842400.00,15180940.00,6200.00,7135039.00,30100,38.50,13.10,5.20,,,,,,,,,,,,,1.00,0.53,47
P1_03N_B4172,4172 Brits to Pienaarspoort rail over P1-3,Bridge,Bridge,2012/11/06,03N,P1,9.04,2022/06/30,2016/03/09,30430544.00,48295718.00,52518180.00,30000.00,22057636.00,30100,117.10,14.90,6.21,,,,,,,,,,,,,1.00,0.58,42
K4_01N_B4881,4881 over Labeleng to Akasiaboom Rail,Bridge,Bridge,2012/10/23,01N,K4,0.42,2022/06/30,2016/03/12,7744705.00,13738245.00,14748520.00,72010.00,6931803.00,30100,35.20,13.92,6.86,,,,,,,,,,,,,1.00,0.53,47
K8_01N_B4725A,4725(A) over Apies River,Bridge,Bridge,2012/10/16,01N,K8,0.45,2022/06/30,2016/03/15,12419715.00,22779896.00,23513520.00,42450.00,11051353.00,30100,55.60,14.05,5.84,,,,,,,,,,,,,1.00,0.53,47
K27_01N_IDC1229,RANDTJIESFONTEIN UNDERPASS,Major Culvert,Culvert Major,2012/10/31,01N,K27,45.50,2022/06/30,2016/06/20,242915.00,412594.00,412593.80,0.00,169679.00,24450,,,,,4.5,3.75,0.00,,,,,,,,,,0.589,47
K8_01N_B2409,2409 over Wilderbeesthoek to Lynross Rail,Bridge,Bridge,2012/10/17,01N,K8,15.60,2022/06/30,2016/02/24,6861080.00,12033378.00,13545000.00,46870.00,6637050.00,30100,30.00,15.00,6.39,,,,,,,,,,,,,1.00,0.51,49
K54_01N_B5186,River Bridge,Bridge,Bridge,2012/11/07,01N,K54,0.40,2022/06/30,2016/02/23,5288464.00,9715448.00,10052200.00,39200.00,4724532.00,30100,24.20,13.80,5.29,,,,,,,,,,,,,1.00,0.53,47
K8_01N_B2953,2953 over Rosslyn Rail,Bridge,Bridge,2012/10/17,01N,K8,10.83,2022/06/30,2016/03/24,3839281.00,6689143.00,7844662.00,83050.00,3922331.00,30100,15.70,16.60,5.66,,,,,,,,,,,,,1.00,0.5,50
P1_03N_B1879,1879 over Tributary to Apies River,Bridge,Bridge,2012/11/06,03N,P1,13.98,2022/06/30,2016/03/09,4610546.00,9165147.00,10420860.00,58000.00,5752315.00,30100,24.80,13.96,3.80,,,,,,,,,,,,,1.00,0.448,63
P101_01N_IDC0778,"Culvert (469), Tributary to Vogelstruisbult dam",Major Culvert,Culvert Major,2012/10/17,01N,P101,11.10,2022/06/30,2016/06/09,467692.00,794380.00,794380.50,0.00,326689.00,24450,,,,,5.7,5.7,0.50,,,,,,,,,,0.589,47
P1_01N_B4332,Rifle Range Road (M38) over the M1,Bridge,Bridge,2012/10/26,01N,P1,1.00,2022/06/30,2016/06/06,128460611.00,188972997.00,204538400.00,398560.00,75679197.00,45140,177.00,25.60,9.00,,,,,,,,,,,,,1.00,0.63,37
P1_01N_B4334,Columbine Ave,Bridge,Bridge,2012/10/23,01N,P1,47.40,2022/06/30,2016/06/06,29707543.00,51187086.00,56299040.00,130950.00,26460547.00,30100,56.00,33.40,5.74,,,,,,,,,,,,,1.00,0.53,47
P1_01N_IDC2333,drainage,Major Culvert,Culvert Major,2012/10/13,01N,P1,40.80,2022/06/30,,,,,,,24450,,,,,6.3,5.3,1.00,,,,,,,,,,0.589,47
P1_02N_B5008,Bridge on Route P1-2 (Road over P1-2),Bridge,Bridge,2012/10/19,02N,P1,3.00,2022/06/30,2016/03/17,41952967.00,60526391.00,64561480.00,12000.00,22596517.00,45140,190.70,7.50,12.80,,,,,,,,,,,,,1.00,0.65,35
P101_01N_IDC0859,"Culvert (476), Tributary to Blesbokspruit",Major Culvert,Culvert Major,2012/10/18,01N,P101,7.00,2022/06/30,2016/06/09,181429.00,308160.00,308160.00,0.00,126731.00,34240,,,,,3,3,8.00,,,,,,,,,,0.589,47
P1_01N_IDC2331,drainage,Major Culvert,Culvert Major,2012/10/13,01N,P1,23.00,2022/06/30,2016/06/01,73979.00,138632.00,138631.50,7640.00,57012.00,24450,,,,,2.7,2.1,0.60,,,,,,,,,,0.589,47
P1_02N_B90,JUSKEI RIVER BRIDGE,Bridge,Bridge,2012/11/06,02N,P1,35.45,2022/06/30,2016/06/22,6311025.00,11206832.00,12040000.00,70175.00,5658800.00,30100,40.00,10.00,4.89,,,,,,,,,,,,,1.00,0.53,47
P1_01N_IDC2332,drainage,Major Culvert,Culvert Major,2012/10/13,01N,P1,28.50,2022/06/30,2016/06/01,107827.00,270896.00,293400.00,64912.00,120661.00,24450,,,,,4,3,0.60,,,,,,,,,,0.589,47
P1_03N_IDC2711,Tributary to Apies River C3,Major Culvert,Culvert Major,2012/11/21,03N,P1,16.40,2022/06/30,2016/04/02,1402443.00,2121272.00,2505636.00,72750.00,1030443.00,24450,,,,,6.1,16.8,1.50,,,,,,,,,,0.589,47
K69_01N_C5065,CULVERT,Major Culvert,Culvert Major,2012/11/12,01N,K69,10.90,2022/06/30,2016/04/29,129554.00,220050.00,220050.00,0.00,90496.00,24450,,,,,3,3,2.00,,,,,,,,,,0.589,47
K27_01N_IDC1795,OLIFANTSFONTEIN INDUSTRIAL CULVERT,Major Culvert,Culvert Major,2012/10/17,01N,K27,54.70,2022/06/30,2016/06/20,5629961.00,9151723.00,9616185.00,31567.50,3954656.00,24450,,,,,11.5,34.2,0.30,,,,,,,,,,0.589,47
P102_01N_IDC2574,P102/1 (R114) Over Stream,Major Culvert,Culvert Major,2012/10/18,01N,P102,2.70,2022/06/30,2016/07/27,1142049.00,1856840.00,1986563.00,27540.00,816974.00,24450,,,,,6.5,12.5,1.00,,,,,,,,,,0.589,47
K69_01N_B4629,RIVER BRIDGE,Bridge,Bridge,2012/11/28,01N,K69,37.80,2022/06/30,2016/06/27,3457575.00,5179317.00,5684686.00,66930.00,2160181.00,30100,14.20,13.30,6.00,,,,,,,,,,,,,1.00,0.62,38
K69_01N_B5358,K69 (M10) over Pienaars River,Bridge,Bridge,2012/11/06,01N,K69,0.80,2022/06/30,2016/02/23,9972150.00,17625286.00,18860660.00,24000.00,8864510.00,30100,48.20,13.00,4.50,,,,,,,,,,,,,1.00,0.53,47
P100_01N_IDC0640,Culvert at km 44.7 on Route P100,Major Culvert,Culvert Major,2012/09/26,01N,P100,44.20,2022/06/30,2016/04/25,2358467.00,3732686.00,4005888.00,0.00,1647421.00,24450,,,,,12.8,12.8,2.00,,,,,,,,,,0.589,47
P1_03N_IDC2718,Tributary to Apies River C1,Major Culvert,Culvert Major,2012/11/21,03N,P1,8.40,2022/06/30,2016/04/02,3713646.00,6308100.00,6308100.00,248.00,2594206.00,24450,,,,,12.9,20,0.60,,,,,,,,,,0.589,47
P1_02N_B3808,"Link ""Y"" over P1-2",Bridge,Bridge,2012/10/19,02N,P1,6.60,2022/06/30,2016/03/18,29602881.00,44809484.00,47347300.00,699390.00,17045029.00,30100,130.00,12.10,7.00,,,,,,,,,,,,,1.00,0.64,36
P1_03N_IDC2709,Tributary to Apies River C4,Major Culvert,Culvert Major,2012/11/21,03N,P1,20.90,2022/06/30,2016/04/03,727998.00,1382355.00,1398296.00,95248.00,575049.00,24450,,,,,4.3,13.3,0.80,,,,,,,,,,0.589,47
K8_01N_B4056B,4056B over Akasiaboom to Winternest Rail,Bridge,Bridge,2012/10/17,01N,K8,9.24,2022/06/30,2016/02/24,9956477.00,16194275.00,16891910.00,9750.00,6925683.00,30100,42.10,13.33,6.31,,,,,,,,,,,,,1.00,0.59,41
P1_03N_B4171,4171 Rooival to Pienaarspoort Rail over P1-3,Bridge,Bridge,2012/11/06,03N,P1,10.38,2022/06/30,2016/03/09,35223041.00,57392664.00,59728030.00,16500.00,24488491.00,30100,187.20,10.60,5.48,,,,,,,,,,,,,1.00,0.59,41
P1_02N_B3810,"Link ""V"" over Road P1-2",Bridge,Bridge,2012/10/19,02N,P1,5.80,2022/06/30,2016/03/17,32885840.00,51158778.00,51390030.00,3780.00,18500412.00,30100,141.10,12.10,7.00,,,,,,,,,,,,,1.00,0.64,36
P102_01N_IDC2572,Unlisted culvert,Major Culvert,Culvert Major,2012/10/18,01N,P102,5.90,2022/06/30,2016/05/16,419241.00,730819.00,770175.00,34200.00,316734.00,24450,,,,,2.5,12.6,0.70,,,,,,,,,,0.589,47
K69_01N_C4630,CULVERT,Major Culvert,Culvert Major,2012/11/12,01N,K69,6.80,2022/06/30,2016/04/29,1586881.00,2336935.00,2377350.00,0.00,790469.00,29350,,,,,9,9,3.00,,,,,,,,,,0.668,38
P100_01N_IDC0683,Culvert at km 47.3 on route P100,Major Culvert,Culvert Major,2012/09/26,01N,P100,47.30,2022/06/30,2016/04/25,218426.00,666406.00,712962.00,201330.00,293206.00,24450,,,,,5.4,5.4,0.00,,,,,,,,,,0.589,47
P1_02N_B3809A,East Bound,Bridge,Bridge,2012/10/19,02N,P1,6.08,2022/06/30,2016/03/17,29727436.00,44182890.00,47128420.00,434750.00,16966230.00,45140,78.50,13.30,8.70,,,,,,,,,,,,,1.00,0.64,36
P101_01N_IDC0864,"Culvert (505), Tributary to Dwars-in-die-wegvlei",Major Culvert,Culvert Major,2012/10/18,01N,P101,1.90,2022/06/30,2016/06/09,129554.00,220050.00,220050.00,0.00,90496.00,24450,,,,,3,3,0.50,,,,,,,,,,0.589,47
P101_01N_B1505,Road over Rail Bridge near Endicott on the R42,Bridge,Bridge,2012/10/03,01N,P101,18.30,2022/06/30,2016/07/30,1603369.00,2851042.00,3177356.00,80630.00,1493357.00,30100,11.60,9.10,5.33,,,,,,,,,,,,,1.00,0.53,47
K69_01N_B5356B,Rail Bridge B,Bridge,Bridge,2012/11/06,01N,K69,4.20,2022/06/30,2016/02/23,6394626.00,10914229.00,12157990.00,49110.00,5714256.00,30100,30.60,13.20,6.09,,,,,,,,,,,,,1.00,0.53,47
